text,keywords_formal.0.keywords,keywords_formal.0.is_formal,keywords_formal.0.annotator
Retweeted اسفندیار ( @davoodi_es ): قيام سي تير ۱۳۳۱ به رهبری دکتر محمد #مصدق ٬در #تاريخ معاصر #ايران يكي از... http:// fb.me/y2zB0rbA,"["" قيام سي تير"","" دکتر محمد مصدق"",""تاريخ معاصر ايران""]",true,annotator1
#تاریخ #معاصر #ایران از بابت وجود #پدیده‌ای چون #تتلو قطعا #شرمگین است.,"[""تاریخ معاصر  ایران"",""تتلو"",""شرمگین""]",true,annotator1
"""#پرويز_اعلم درباره مرحوم #احسان_نراقي گفته است: """"اين بابا اسهال گلو دارد!"""" #تاريخ_شفاهي #تاريخ #تاريخ_ معاصر""","[""پرويز اعلم"",""احسان نراقي"",""اسهال گلو""]",true,annotator1
«تهرانِ معاصر در یک دهه‌ گذشته پایه‌گذاری شد» *.قدیم تاریخ نمی‌خواندند، بعدها تاریخ جعل می‌کردند، حالا بدتر، با #تاریخ شوخی می‌کنند. #تهران,"[""تاریخ"",""تهرانِ معاصر""]",true,annotator2
"""در این دوره بود ک رشته ی """"انگال کاری مقعددوستان و آشنایان"""" تعریف شد و ب کاربری رسید #تاریخ معاصر""","[""انگال کاری مقعددوستان و آشنایان""]",true,annotator1
. .راه #سعادت = مثل اینها نباشید! بعضی کارها و رفتارها در طول #تاریخ معاصر برای همیشه به اسم… https://www. instagram.com/p/BVuEkFLBEDm/,"[""تاریخ معاصر""]",true,annotator1
مردم #عربستان اگر یک #شتر هم به عنوان #ولیعهد معرفی بشه باهاش #بیعت می کنند. #تاریخ معاصر این کشور رو ببینید و زیاد امیدوار نباشید,"[""مردم عربستان "","" ولیعهد"","" تاریخ معاصر""]",false,annotator2
مگه تنها سودِ #تاریخ ، عبرت گرفتن نبود؟ #کودتاکاشانی بزرگترین عبرت تاریخ معاصر برای ماست، کاشانی های زیادی امروز برای مصدق ها زیرآب میزنن,"[""تاریخ"",""کودتاکاشانی"",""عبرت تاریخ معاصر""]",false,annotator2
#ایران - 25خرداد ۱۳۵۲ - سالگرد شهادت #مجاهد کبیر #رضا_رضایی یکی از رهبران برجسته #تاریخ معاصر :من نمی‌اندیشم جز به میدان نبرد #رضا_رضایی pic.twitter.com/uZuzkKj7Ne,"[""مجاهد کبیر"",""تاریخ معاصر"",""سالگرد شهادت"",""رضا رضایی""]",true,annotator1
#تاريخ_ معاصر #سرزمين م پراست ازيك #واژه #تنفر وخالی است از يك واژه #عشق مواظب خودمان باشيم ماحاصل اين #تاريخ يم #احمد_امامی #افغانستان_کابل pic.twitter.com/45RcEkImIE,"[""تاريخ معاصر"",""سرزمين م"",""تنفر وخالی""]",true,annotator1
خوشبختانه دهن #تاریخ رو نمیشه بست! از این به بعد بیشتر از تاریخ معاصر #ایران خواهید شنید، چیزی که بعضی از افشای اون #وحشت دارند #بنی_صدر,"[""دهن تاریخ"",""تاریخ معاصر ایران"",""افشای اون""]",false,annotator1
ای کاش این قسمت از دیوار #مجلس تعمیر نمیشد تا برای #تاریخ بماند. #تاریخ_ معاصر #داعش #حمله #تهران #تروريستي_تهران #تروریست #حرم #دیوار pic.twitter.com/BD7gdUsJDy,"[""دیوار مجلس""]",true,annotator1
سرداری که نخستین پیشگام در #مبارزه انقلابی مسلحانه در #تاریخ معاصر ایران است,"[""مبارزه انقلابی مسلحانه"",""تاریخ معاصر ایران"",""سرداری""]",true,annotator1
#ایران - سالمرگ #خمینی دجال ضدبشر منفورترین #دیکتاتور #تاریخ معاصر بر همگان #مبارک مرگ بر اصل #ولایت_فقیه لعنت بر #خمینی pic.twitter.com/1RvCslOsly,"["" سالمرگ خميني"","" منفورترین دیکتاتور"","" تاریخ معاصر"","" مرگ بر اصل ولایت فقیه""]",true,annotator1
سالمرگ خميني دجال دزد بزرگ قرن مبارك #ایران - منفورترین #دیکتاتور #تاریخ معاصر مرگ بر اصل #ولایت_فقیه لعنت بر #خمینی pic.twitter.com/EUMjkFtj9w,"[""سالمرگ خميني"",""منفورترین دیکتاتور"",""تاریخ معاصر"",""مرگ بر اصل ولایت فقیه""]",true,annotator1
#ایران - سالمرگ #خمینی دجال ضدبشر منفورترین #دیکتاتور #تاریخ معاصر بر همگان #مبارک قبردجال بزودي بدست ارتش ازادي منفجرخواهد شد pic.twitter.com/CH009B3fff,"[""سالمرگ خمینی"",""منفورترین دیکتاتور"",""تاریخ معاصر"",""ارتش ازادي""]",true,annotator1
