,target
0,خوشبختانه
1,دهن
2,تاریخ
3,رو
4,نمیشه
5,بست
6,!
7,از
8,این
9,به
10,بعد
11,بیشتر
12,از
13,تاریخ
14,معاصر
15,ایران
16,خواهید_شنید
17,،
18,چیزی
19,که
20,بعضی
21,از
22,افشای
23,اون
24,وحشت
25,دارند
26,بنی
27,صدر
28,از
29,همه
30,بعلاوه
31,خودم
32,خواهش
33,میکنم
34,یکم
35,کتاب
36,بخونیم
37,،
38,در
39,حال
40,حاضر
41,تاریخ
42,معاصر
43,لپ
44,تابم
45,خراب
46,شد
47,.
48,نه
49,از
50,فیلم
51,خبری
52,هست
53,نه
54,از
55,سریال
56,.
57,تا
58,خود
59,صبح
60,رو
61,با
62,کتاب
63,،
64,موسیقی
65,و
66,ریختن
67,همه
68,اتفاقای
69,بد
70,مملکت
71,از
72,ذهنم
73,میگذرونم
74,.
75,کتاب
76,ی
77,که
78,اطلاعات
79,تازه‌ای
80,بده
81,خوبه
82,اما
83,کتابی
84,که
85,پراز
86,ایده
87,ست
88,خوانی
89,از
90,خوان‌های
91,بهشتی
92,است
93,.
94,درحال
95,مطالعه
96,دو
97,کتاب
98,از
99,نوع
100,دوم
101,هستم
102,.
103,۱:
104,درس
105,هایی
106,از
107,تاریخ
108,نوشته
109,آرینت
110,و
111,ویل
112,دورانت
113,و
114,۲:
115,با
116,چراغ
117,و
118,آیینه
119,(
120,در
121,جست
122,و
123,جوی
124,ریشه‌های
125,تحول
126,در
127,شعر
128,معاصر
129,فارسی
130,)
131,نوشته
132,شفیعی
133,کدکنی
134,تاریخ
135,شعر
136,ادبیات
137,لباس
138,پوشوندن
139,دهقان
140,فداکار
141,رو
142,میشه
143,از
144,دیدگاه
145,طنز
146,دید
147,و
148,به
149,کوته‌فکری
150,برخی
151,خندید
152,.
153,شاید
154,حتی
155,بشه
156,اصلاحش
157,کرد
158,.
159,اما
160,از
161,نگاه
162,دیگه
163,،
164,میشه
165,گفت
166,این‌هایی
167,که
168,از
169,تحریف
170,یه
171,داستان
172,واقعی
173,معاصر
174,به
175,این
176,شکل
177,هیچ
178,ابایی
179,ندارن
180,،
181,فکر
182,میکنید
183,چه
184,بلایی
185,سر
186,تاریخ
